total cnt, <=12.5 uS, >=37.0 uS, track,13.0 uS,13.5 uS,14.0 uS,14.5 uS,15.0 uS,15.5 uS,16.0 uS,16.5 uS,17.0 uS,17.5 uS,18.0 uS,18.5 uS,19.0 uS,19.5 uS,20.0 uS,20.5 uS,21.0 uS,21.5 uS,22.0 uS,22.5 uS,23.0 uS,23.5 uS,24.0 uS,24.5 uS,25.0 uS,25.5 uS,26.0 uS,26.5 uS,27.0 uS,27.5 uS,28.0 uS,28.5 uS,29.0 uS,29.5 uS,30.0 uS,30.5 uS,31.0 uS,31.5 uS,32.0 uS,32.5 uS,33.0 uS,33.5 uS,34.0 uS,34.5 uS,35.0 uS,35.5 uS,36.0 uS,36.5 uS,avg uS
34182, 0, 278,trk0, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.01%, 0.04%, 0.11%, 0.53%, 1.33%, 3.01%, 6.01%, 9.41%, 12.61%, 14.98%, 15.18%, 13.61%, 10.53%, 6.91%, 3.62%, 1.46%, 0.43%, 0.16%, 0.05%, 0.01%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 24.30
142951, 0, 177,trk1, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.02%, 0.09%, 0.35%, 1.02%, 2.90%, 8.12%, 18.57%, 24.43%, 23.14%, 13.84%, 5.39%, 1.60%, 0.40%, 0.10%, 0.01%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 24.63
17514, 0, 92,trk2, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.01%, 0.11%, 0.45%, 1.17%, 2.74%, 4.79%, 6.57%, 8.52%, 10.97%, 13.50%, 14.38%, 13.58%, 11.26%, 6.93%, 3.40%, 1.13%, 0.41%, 0.09%, 0.01%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 24.69
22574, 0, 63,trk3, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.01%, 0.06%, 0.15%, 0.43%, 1.04%, 2.15%, 4.31%, 6.07%, 9.06%, 11.82%, 13.80%, 14.68%, 13.03%, 10.64%, 6.57%, 3.41%, 1.91%, 0.52%, 0.28%, 0.04%, 0.01%, 0.01%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 24.73
15358, 0, 180,trk4, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.01%, 0.04%, 0.21%, 0.69%, 1.49%, 2.98%, 4.91%, 7.31%, 9.77%, 11.72%, 13.05%, 11.91%, 10.71%, 8.49%, 6.25%, 4.51%, 2.52%, 1.82%, 0.80%, 0.45%, 0.20%, 0.13%, 0.04%, 0.01%, 0.00%, 0.01%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 24.22
22173, 0, 320,trk5, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.01%, 0.04%, 0.25%, 0.77%, 1.35%, 2.28%, 3.50%, 4.91%, 6.55%, 8.05%, 9.71%, 10.32%, 10.42%, 9.90%, 8.79%, 7.25%, 5.60%, 3.94%, 2.78%, 1.70%, 0.90%, 0.55%, 0.27%, 0.09%, 0.05%, 0.03%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 24.37
20548, 0, 83,trk6, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.04%, 0.19%, 0.77%, 1.47%, 3.03%, 5.30%, 7.86%, 10.94%, 12.72%, 14.10%, 13.26%, 11.68%, 8.13%, 5.19%, 2.80%, 1.37%, 0.71%, 0.31%, 0.09%, 0.02%, 0.01%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 25.01
24086, 0, 217,trk7, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.03%, 0.16%, 0.39%, 1.14%, 2.05%, 3.88%, 5.88%, 8.13%, 10.96%, 13.23%, 13.45%, 13.08%, 10.19%, 7.62%, 4.78%, 2.58%, 1.53%, 0.63%, 0.19%, 0.05%, 0.02%, 0.01%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 24.38
24205, 0, 225,trk8, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.04%, 0.12%, 0.43%, 1.46%, 3.15%, 4.95%, 7.13%, 9.13%, 11.58%, 14.46%, 14.83%, 12.81%, 9.41%, 6.18%, 2.85%, 1.04%, 0.36%, 0.04%, 0.02%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 24.08
