1               ,Entrex Nixdorf 620 Save PRIX 22-01-87 F2.csv
1               ,Entrex Nixdorf 620 Save PRIX 22-01-87 R1.csv
1               ,Entrex Nixdorf 620 Save PRIX 22-01-87 R2.csv
2               ,Entrex Nixdorf 620 Save PRIX 22-01-87 F2.csv
2               ,Entrex Nixdorf 620 Save PRIX 22-01-87 R2.csv
3               ,Entrex Nixdorf 620 Save PRIX 22-01-87 F2.csv
3               ,Entrex Nixdorf 620 Save PRIX 22-01-87 R1.csv
3               ,Entrex Nixdorf 620 Save PRIX 22-01-87 R2.csv
4               ,Entrex Nixdorf 620 Save PRIX 22-01-87 F2.csv
4               ,Entrex Nixdorf 620 Save PRIX 22-01-87 R1.csv
4               ,Entrex Nixdorf 620 Save PRIX 22-01-87 R2.csv
5               ,Entrex Nixdorf 620 Save PRIX 22-01-87 R1.csv
5               ,Entrex Nixdorf 620 Save PRIX 22-01-87 R2.csv
6               ,Entrex Nixdorf 620 Save PRIX 22-01-87 R1.csv
6               ,Entrex Nixdorf 620 Save PRIX 22-01-87 R2.csv
7               ,Entrex Nixdorf 620 Save PRIX 22-01-87 F2.csv
7               ,Entrex Nixdorf 620 Save PRIX 22-01-87 R1.csv
7               ,Entrex Nixdorf 620 Save PRIX 22-01-87 R2.csv
8               ,Entrex Nixdorf 620 Save PRIX 22-01-87 F2.csv
8               ,Entrex Nixdorf 620 Save PRIX 22-01-87 R1.csv
8               ,Entrex Nixdorf 620 Save PRIX 22-01-87 R2.csv
9               ,Entrex Nixdorf 620 Save PRIX 22-01-87 F2.csv
9               ,Entrex Nixdorf 620 Save PRIX 22-01-87 R2.csv
10              ,Entrex Nixdorf 620 Save PRIX 22-01-87 F2.csv
10              ,Entrex Nixdorf 620 Save PRIX 22-01-87 R1.csv
10              ,Entrex Nixdorf 620 Save PRIX 22-01-87 R2.csv
11              ,Entrex Nixdorf 620 Save PRIX 22-01-87 F2.csv
11              ,Entrex Nixdorf 620 Save PRIX 22-01-87 R2.csv
12              ,Entrex Nixdorf 620 Save PRIX 22-01-87 F2.csv
12              ,Entrex Nixdorf 620 Save PRIX 22-01-87 R1.csv
13              ,Entrex Nixdorf 620 Save PRIX 22-01-87 F2.csv
13              ,Entrex Nixdorf 620 Save PRIX 22-01-87 R1.csv
13              ,Entrex Nixdorf 620 Save PRIX 22-01-87 R2.csv
14              ,Entrex Nixdorf 620 Save PRIX 22-01-87 F2.csv
14              ,Entrex Nixdorf 620 Save PRIX 22-01-87 R1.csv
14              ,Entrex Nixdorf 620 Save PRIX 22-01-87 R2.csv
15              ,Entrex Nixdorf 620 Save PRIX 22-01-87 F2.csv
15              ,Entrex Nixdorf 620 Save PRIX 22-01-87 R1.csv
15              ,Entrex Nixdorf 620 Save PRIX 22-01-87 R2.csv
16              ,Entrex Nixdorf 620 Save PRIX 22-01-87 F2.csv
16              ,Entrex Nixdorf 620 Save PRIX 22-01-87 R1.csv
16              ,Entrex Nixdorf 620 Save PRIX 22-01-87 R2.csv
17              ,Entrex Nixdorf 620 Save PRIX 22-01-87 F2.csv
17              ,Entrex Nixdorf 620 Save PRIX 22-01-87 R1.csv
17              ,Entrex Nixdorf 620 Save PRIX 22-01-87 R2.csv
18              ,Entrex Nixdorf 620 Save PRIX 22-01-87 F2.csv
18              ,Entrex Nixdorf 620 Save PRIX 22-01-87 R1.csv
18              ,Entrex Nixdorf 620 Save PRIX 22-01-87 R2.csv
19              ,Entrex Nixdorf 620 Save PRIX 22-01-87 F2.csv
19              ,Entrex Nixdorf 620 Save PRIX 22-01-87 R1.csv
19              ,Entrex Nixdorf 620 Save PRIX 22-01-87 R2.csv
21              ,Entrex Nixdorf 620 Save PRIX 22-01-87 F2.csv
21              ,Entrex Nixdorf 620 Save PRIX 22-01-87 R1.csv
21              ,Entrex Nixdorf 620 Save PRIX 22-01-87 R2.csv
22              ,Entrex Nixdorf 620 Save PRIX 22-01-87 R1.csv
22              ,Entrex Nixdorf 620 Save PRIX 22-01-87 R2.csv
